id_scal;scenario_key;name;var_name;carrier;region;tech;type;var_value;var_unit;source;comment
92;2045_scenario;;carrier_cost;electricity;ALL;boiler_heat_high;conversion;0.0;Eur/MWh;From original raw_cost_eff:;Zero
93;2045_scenario;;efficiency;electricity;ALL;boiler_heat_high;conversion;0.99;per unit;"PyPSA: Danish Energy Agency; technology_data_for_industrial_process_heat.xlsx";"310.1 Electric boiler steam  :  Total efficiency; net; annual average"
94;2045_scenario;;expandable;electricity;ALL;boiler_heat_high;conversion;true;;;
95;2045_scenario;;marginal_cost;electricity;ALL;boiler_heat_high;conversion;0.7855;EUR/MWh;"PyPSA: Danish Energy Agency; technology_data_for_industrial_process_heat.xlsx";310.1 Electric boiler steam  :  Variable O&M
96;2045_scenario;r120640428428-electricity-demand_cts;amount;electricity;r120640428428;demand_cts;load;28295.79;MWh/a;;Zero
97;2045_scenario;r120640472472-electricity-demand_cts;amount;electricity;r120640472472;demand_cts;load;39842.1472578646;MWh/a;;Zero
98;2045_scenario;r120670124124-electricity-demand_cts;amount;electricity;r120670124124;demand_cts;load;9565.24090296921;MWh/a;;Zero
99;2045_scenario;r120670201201-electricity-demand_cts;amount;electricity;r120670201201;demand_cts;load;49826.9950025415;MWh/a;;Zero
100;2045_scenario;r120640428428-electricity-demand_hh;amount;electricity;r120640428428;demand_hh;load;15578.02;MWh/a;;Zero
101;2045_scenario;r120640472472-electricity-demand_hh;amount;electricity;r120640472472;demand_hh;load;26599.9676893529;MWh/a;;Zero
102;2045_scenario;r120670124124-electricity-demand_hh;amount;electricity;r120670124124;demand_hh;load;11573.2108240958;MWh/a;;Zero
103;2045_scenario;r120670201201-electricity-demand_hh;amount;electricity;r120670201201;demand_hh;load;8848.36142539557;MWh/a;;Zero
104;2045_scenario;r120640428428-electricity-demand_ind;amount;electricity;r120640428428;demand_ind;load;222309.37;MWh/a;;Zero
105;2045_scenario;r120640472472-electricity-demand_ind;amount;electricity;r120640472472;demand_ind;load;33173.4638725242;MWh/a;;Zero
106;2045_scenario;r120670124124-electricity-demand_ind;amount;electricity;r120670124124;demand_ind;load;10737.7847669009;MWh/a;;Zero
107;2045_scenario;r120670201201-electricity-demand_ind;amount;electricity;r120670201201;demand_ind;load;867381.877454026;MWh/a;;Zero
108;2045_scenario;r120640428428-electricity-demand_mob;amount;electricity;r120640428428;demand_mob;load;11885.291485921;MWh/a;;Sum of profile für region Ruedersdorf
109;2045_scenario;r120640472472-electricity-demand_mob;amount;electricity;r120640472472;demand_mob;load;20289.635045688;MWh/a;;Dummy Value: Sum of profile für region Ruedersdorf
110;2045_scenario;r120670124124-electricity-demand_mob;amount;electricity;r120670124124;demand_mob;load;8444.81117721321;MWh/a;;Dummy Value: Sum of profile für region Ruedersdorf
111;2045_scenario;r120670201201-electricity-demand_mob;amount;electricity;r120670201201;demand_mob;load;6231.09211909189;MWh/a;;Dummy Value: Sum of profile für region Ruedersdorf
112;2045_scenario;r120640428428-electricity-electrolyzer;capacity;electricity;r120640428428;electrolyzer;conversion;0.0;MW;;Zero
113;2045_scenario;r120640472472-electricity-electrolyzer;capacity;electricity;r120640472472;electrolyzer;conversion;0.0;MW;;Zero
114;2045_scenario;r120670124124-electricity-electrolyzer;capacity;electricity;r120670124124;electrolyzer;conversion;0.0;MW;;Zero
115;2045_scenario;r120670201201-electricity-electrolyzer;capacity;electricity;r120670201201;electrolyzer;conversion;0.0;MW;;Zero
116;2045_scenario;;capacity_cost;electricity;ALL;electrolyzer;conversion;31353.28976627501;;;
117;2045_scenario;r120640428428-electricity-electrolyzer;capacity_potential;electricity;r120640428428;electrolyzer;conversion;;MW;;Empty
118;2045_scenario;r120640472472-electricity-electrolyzer;capacity_potential;electricity;r120640472472;electrolyzer;conversion;;MW;;Empty
119;2045_scenario;r120670124124-electricity-electrolyzer;capacity_potential;electricity;r120670124124;electrolyzer;conversion;;MW;;Empty
120;2045_scenario;r120670201201-electricity-electrolyzer;capacity_potential;electricity;r120670201201;electrolyzer;conversion;;MW;;Empty
121;2045_scenario;;carrier_cost;electricity;ALL;electrolyzer;conversion;0.0;Eur/MWh;From original raw_cost_eff:;Zero
122;2045_scenario;;efficiency;electricity;ALL;electrolyzer;conversion;0.73;p.u.;data_sheets_for_renewable_fuels;
123;2045_scenario;;expandable;electricity;ALL;electrolyzer;conversion;true;;;
124;2045_scenario;;marginal_cost;electricity;ALL;electrolyzer;conversion;0.0;EUR/MWh;From original raw_cost_eff:;Dummy value
125;2045_scenario;r120640428428-electricity-export;capacity;electricity;r120640428428;export;excess;;MW;;Empty
126;2045_scenario;r120640472472-electricity-export;capacity;electricity;r120640472472;export;excess;;MW;;Empty
127;2045_scenario;r120670124124-electricity-export;capacity;electricity;r120670124124;export;excess;;MW;;Empty
128;2045_scenario;r120670201201-electricity-export;capacity;electricity;r120670201201;export;excess;;MW;;Empty
129;2045_scenario;;marginal_cost;electricity;ALL;export;excess;0.0;Eur/MWh;own assumption;
130;2045_scenario;r120640428428-electricity-heatpump_central;capacity;electricity;r120640428428;heatpump_central;conversion;0.0;MW;;Zero
131;2045_scenario;r120640472472-electricity-heatpump_central;capacity;electricity;r120640472472;heatpump_central;conversion;0.0;MW;;Zero
132;2045_scenario;r120670124124-electricity-heatpump_central;capacity;electricity;r120670124124;heatpump_central;conversion;0.0;MW;;Zero
133;2045_scenario;r120670201201-electricity-heatpump_central;capacity;electricity;r120670201201;heatpump_central;conversion;0.0;MW;;Zero
134;2045_scenario;;capacity_cost;electricity;ALL;heatpump_central;conversion;53596.46885567595;;;
135;2045_scenario;r120640428428-electricity-heatpump_central;capacity_potential;electricity;r120640428428;heatpump_central;conversion;;MW;;Empty
136;2045_scenario;r120640472472-electricity-heatpump_central;capacity_potential;electricity;r120640472472;heatpump_central;conversion;;MW;;Empty
137;2045_scenario;r120670124124-electricity-heatpump_central;capacity_potential;electricity;r120670124124;heatpump_central;conversion;;MW;;Empty
